index,title,type,release_year,genres,production_countries,imdb_score,imdb_votes
4300,Hazel Brugger: Tropical,MOVIE,2020,['comedy'],['DE'],6.4,415
4301,Handsome Siblings,SHOW,2020,"['fantasy', 'romance', 'action', 'comedy', 'drama']",['CN'],7.9,614
4306,Find Yourself,SHOW,2020,"['drama', 'romance']",['CN'],7.6,201
4307,Just Another Christmas,MOVIE,2020,"['comedy', 'family', 'drama']",['BR'],6.7,4476
4309,Malibu Rescue: The Next Wave,MOVIE,2020,"['comedy', 'family', 'action']",['US'],4.7,818
4313,The Boys in the Band: Something Personal,MOVIE,2020,['documentation'],['US'],7.2,356
4314,Dance Dreams: Hot Chocolate Nutcracker,MOVIE,2020,"['documentation', 'family']",['US'],7,339
4315,Octonauts and the Great Barrier Reef,MOVIE,2020,"['animation', 'comedy', 'family', 'action']",[],6.6,131
4316,The Iliza Shlesinger Sketch Show,SHOW,2020,['comedy'],['US'],5,914
4322,The Stand at Paxton County,MOVIE,2020,"['thriller', 'drama']",['US'],6.4,1069
4323,Shine Your Eyes,MOVIE,2020,"['drama', 'thriller']","['FR', 'BR']",6.4,313
4324,The Lockdown Plan,MOVIE,2020,[],[],6.5,
4325,Go! Go! Cory Carson,SHOW,2020,"['animation', 'comedy', 'family']",['US'],7.9,238
4327,DeMarcus Family Rules,SHOW,2020,['reality'],['US'],6.2,110
4334,Nate: A One Man Show,MOVIE,2020,['comedy'],['US'],6.6,346
4337,Jai Mummy Di,MOVIE,2020,"['romance', 'comedy', 'drama']",['IN'],3.6,935
4338,The Unknown Saint,MOVIE,2020,"['drama', 'comedy', 'crime']","['FR', 'QA', 'MA']",6.5,1092
4339,Spelling the Dream,MOVIE,2020,['documentation'],['US'],6.9,716
4341,Tobot Galaxy Detectives,SHOW,2020,['animation'],[],7,13
4345,A Road to Wellbeing,MOVIE,2020,['documentation'],[],6.2,23
4346,GAME ON: A Comedy Crossover Event,SHOW,2020,"['comedy', 'family']",['US'],5.4,213
4348,Octonauts and the Caves of Sac Actun,MOVIE,2020,"['animation', 'comedy', 'family']",['GB'],6.2,177
4350,One-Way to Tomorrow,MOVIE,2020,"['romance', 'comedy', 'drama']",['TR'],5.6,4819
4351,Ginny Weds Sunny,MOVIE,2020,"['drama', 'romance', 'comedy']",['IN'],5.7,4699
4355,The Underclass,SHOW,2020,['drama'],['TH'],6.4,62
4361,Angela's Christmas Wish,MOVIE,2020,"['animation', 'comedy', 'drama', 'family']","['IE', 'US']",7.1,1434
4364,Father Soldier Son,MOVIE,2020,"['war', 'documentation']",['US'],7.3,929
4366,The Magic School Bus Rides Again: Kids in Space,MOVIE,2020,"['action', 'family', 'animation', 'comedy', 'scifi']",['CA'],5.9,81
4367,Shawn Mendes: Live in Concert,MOVIE,2020,"['documentation', 'music']",['CA'],7.1,316
4369,Serious Men,MOVIE,2020,"['comedy', 'drama']",['IN'],6.8,7390
4370,Furtive,MOVIE,2020,['thriller'],['AR'],5.1,320
4373,Illegal Woman,MOVIE,2020,"['drama', 'crime', 'european']",['ES'],6.2,196
4374,The Unremarkable Juanquini,SHOW,2020,['comedy'],['CO'],4.3,189
4378,Varane Avashyamund,MOVIE,2020,"['comedy', 'romance', 'family', 'drama']",['IN'],6.9,2721
4381,The Rope Curse 2,MOVIE,2020,['horror'],[],4.7,339
4382,Shimla Mirchi,MOVIE,2020,"['romance', 'comedy']",['IN'],4.6,1492
4383,Love,MOVIE,2020,"['thriller', 'drama']",['IN'],7,1485
4385,Santana,MOVIE,2020,"['action', 'drama', 'crime']","['AO', 'ZA']",3.9,977
4387,Nneka the Pretty Serpent,MOVIE,2020,"['horror', 'fantasy']",['NG'],3.8,118
4389,The Most Dangerous Man in Europe,MOVIE,2020,"['documentation', 'history', 'war']",['ES'],6.8,202
4391,Sing On! Germany,SHOW,2020,"['reality', 'music']",['DE'],5.4,136
4393,Mutiny of the Worker Bees,MOVIE,2020,['comedy'],['MX'],4,475
